🕘️更新时间,#genre#
2025-05-05 22:59:38,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1,http://221.13.235.5:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://59.32.97.183:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://171.213.129.93:4022/udp/239.93.0.184:5140
CCTV-1,http://180.105.209.133:9981/udp/239.49.8.19:9614
CCTV-1,http://171.213.211.61:4022/udp/239.93.0.184:5140
CCTV-1,http://110.253.61.60:8686/rtp/239.253.92.83:8012
CCTV-1,http://123.101.98.62:2000/rtp/239.16.20.1:10010
CCTV-1,http://171.8.169.65:8800/rtp/239.16.20.1:10010
CCTV-1,http://27.46.65.24:17088/udp/239.0.1.3:8008
CCTV-1,http://171.8.82.146:8800/rtp/239.16.20.1:10010
CCTV-1,http://180.105.209.133:9981/rtp/239.49.8.129:6000
CCTV-2,http://221.13.235.5:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=f074da&tk=6949f8ce7202
CCTV-2,http://106.46.114.7:8011/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://59.32.97.183:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://27.46.65.24:17088/udp/239.0.1.4:8084
CCTV-2,http://171.213.211.61:4022/udp/239.93.1.23:6000
CCTV-2,http://171.8.169.65:8800/rtp/239.16.20.2:10020
CCTV-2,http://123.101.98.62:2000/rtp/239.16.20.2:10020
CCTV-2,http://58.50.153.91:4022/rtp/239.69.1.102:10250
CCTV-2,http://180.105.209.133:9981/udp/239.49.8.50:9802
CCTV-2,http://171.213.129.93:4022/udp/239.93.1.23:6000
CCTV-2,http://117.81.150.89:5555/udp/239.49.8.50:9802
CCTV-2,http://itv.iptv1688.top:2016/itv.php?id=CCTV2
CCTV-2,http://110.253.61.60:8686/rtp/239.253.92.190:6065
CCTV-2,http://221.13.234.114:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://221.13.235.5:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://106.46.114.7:8011/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://221.13.234.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://59.32.97.183:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=fdb530&tk=6949f8ce7202
CCTV-3,http://ms.fxim.net:808/hls/3/index.m3u8
CCTV-3,http://27.46.65.24:17088/udp/239.0.1.177:6037
CCTV-3,http://171.213.211.61:4022/udp/239.93.1.11:2223
CCTV-3,http://171.213.129.93:4022/udp/239.93.1.11:2223
CCTV-3,http://itv.iptv1688.top:2016/itv.php?id=CCTV3
CCTV-3,http://221.13.234.180:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://171.8.82.146:8800/rtp/239.16.20.3:10030
CCTV-3,http://27.24.47.36:8888/rtp/239.69.1.122:10370
CCTV-3,http://110.253.61.60:8686/rtp/239.253.92.191:6057
CCTV-3,http://123.159.135.253:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://221.13.235.5:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=e94a90&tk=6949f8ce7202
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=e90d1d&tk=6949f8ce7202
CCTV-4,http://59.32.97.183:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://27.46.65.24:17088/udp/239.0.1.180:6040
CCTV-4,http://171.213.129.93:4022/udp/239.93.1.105:5140
CCTV-4,http://113.64.94.221:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-4,http://171.213.211.61:4022/udp/239.93.1.105:5140
CCTV-4,http://106.46.114.7:8011/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://180.105.209.133:9981/udp/239.49.8.131:6000
CCTV-4,http://110.253.61.60:8686/rtp/239.253.92.251:6141
CCTV-5,http://106.46.114.7:8011/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c8ead1&tk=6949f8ce7202
CCTV-5,http://221.13.235.5:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://59.188.94.126:35455/bptv/10000100000000050000000003870748.m3u8
CCTV-5,http://59.32.97.183:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://171.213.129.93:4022/udp/239.93.42.37:5140
CCTV-5,http://60.183.109.135:8000/udp/233.50.201.197:5140
CCTV-5,http://171.213.211.61:4022/udp/239.93.42.37:5140
CCTV-5,http://171.8.82.146:8800/rtp/239.16.20.53:10530
CCTV-5,http://27.46.65.24:17088/udp/239.0.1.175:6035
