更新时间,#genre#
2024-12-08 06:43:14,url
央视频道,#genre#
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV1,http://114.246.96.72:4000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$组播源
CCTV1,http://123.56.129.203:4289/rtp/225.1.8.1:8008$北京电信组播源
CCTV1,http://123.56.129.203:4289/rtp/225.1.8.101:8080$北京电信组播源
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.1:8008$组播源
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.101:8080$组播源
CCTV1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV1,http://122.9.151.210:6209/rtp/238.255.2.91:5999$组播源
CCTV1,http://223.12.13.231:8082/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV1,http://120.6.209.42:8866/udp/239.253.92.83:8012$订阅源|1920x1080
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源|1920x1080
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$订阅源|1920x1080
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源|1920x1080
CCTV1,http://222.128.86.76:8133/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV1,http://123.117.237.15:8680/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV1,http://113.111.16.104:8888/udp/239.77.1.17:5146$订阅源|1920x1080
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$组播源
CCTV2,http://123.56.129.203:4289/rtp/225.1.8.2:8084$北京电信组播源
CCTV2,http://123.56.129.203:4289/rtp/225.1.8.102:8004$北京电信组播源
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.102:8004$组播源
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.2:8084$组播源
CCTV2,http://122.9.151.210:8088/rtp/238.255.2.11:5999$组播源
CCTV2,http://123.56.129.203:7637/rtp/225.1.8.102:8004$组播源
CCTV2,http://123.56.129.203:7637/rtp/225.1.8.2:8084$组播源
CCTV2,http://122.9.151.210:6209/rtp/238.255.2.11:5999$组播源
CCTV2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源|1920x1080
CCTV2,http://111.196.135.75:8686/udp/239.3.1.60:8084$订阅源|1920x1080
CCTV2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$订阅源|1920x1080
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV2,http://39.98.201.151:9090/udp/225.1.8.102:8004$订阅源
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/1.m3u8?channelid=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV2,http://123.182.60.29:9002/hls/2/index.m3u8$订阅源
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源|1920x1080
CCTV2,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv2$订阅源
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
